PRODUCE,COST PER POUND,POUNDS SOLD,TOTAL
Lettuce,1.88,1.6,3.01
Tomatoes,3.16,7.5,23.7
Strawberries,4.4,11.100000000000001,48.84
Coconuts,1.18,33.9,40
Parsnips,2.27,14.5,32.92
Brussels sprouts,1.65,11.700000000000001,19.31
Celery,3.07,16.1,49.43
Grapes,2.63,20.6,54.18
Coconuts,1.18,38.6,45.55
Coconuts,1.18,1.4000000000000001,1.65
Grapes,2.63,16.2,42.61
Ginger,5.13,1.5,7.7
Grapefruit,0.76,39.7,30.17
Daikon,1.4,18.1,25.34
Corn,1.07,38.6,41.3
Daikon,1.4,29.900000000000002,41.86
Orange,1.09,0.9,0.98
Eggplant,2.32,39,90.48
Brussels sprouts,1.65,34,56.1
Ginger,5.13,4.6000000000000005,23.6
Coconuts,1.18,10.9,12.86
Lettuce,1.88,16.7,31.4
Carrots,1.26,29.700000000000003,37.42
Orange,1.09,37.2,40.55
Parsnips,2.27,19.8,44.95
Yellow peppers,2.87,33.4,95.86
Avocados,3.23,40,129.2
Coconuts,1.18,5.1000000000000005,6.02
Beets,1.51,6.1000000000000005,9.21
Celery,3.07,0.5,1.54
Green beans,2.52,27.400000000000002,69.05
Butternut squash,1.28,24.8,31.74
Asparagus,2.49,21.400000000000002,53.29
Fava beans,2.69,14.700000000000001,39.54
Green cabbage,0.8,35.1,28.08
Apples,1.88,26.700000000000003,50.2
Lettuce,1.88,22.6,42.49
Bananas,0.86,29.200000000000003,25.11
Red onion,0.78,17.400000000000002,13.57
Parsnips,2.27,10.5,23.84
Carrots,1.26,12.700000000000001,16
Lemon,1.29,26.700000000000003,34.44
Parsnips,2.27,3.2,7.26
Ginger,5.13,16.8,86.18
Daikon,1.4,17.6,24.64
Butternut squash,1.28,30.5,39.04
Strawberries,4.4,23.400000000000002,102.96
Asparagus,2.49,16.6,41.33
Celery,3.07,29.6,90.87
Spinach,4.12,27.200000000000003,112.06
Green beans,2.52,24.3,61.24
Yellow peppers,2.87,37.4,107.34
Lettuce,1.88,25.1,47.19
Green beans,2.52,28.1,70.81
Asparagus,2.49,7.7,19.17
Apples,1.88,11.200000000000001,21.06
Eggplant,2.32,16,37.12
Potatoes,0.86,13.4,11.52
Fava beans,2.69,22.200000000000003,59.72
Watermelon,0.66,7.7,5.08
Butternut squash,1.28,8.5,10.88
Spinach,4.12,14.100000000000001,58.09
Yellow peppers,2.87,33.6,96.43
Green beans,2.52,22.400000000000002,56.45
Cucumber,1.07,30.400000000000002,32.53
Grapefruit,0.76,21.5,16.34
Orange,1.09,18.5,20.17
Lettuce,1.88,36.5,68.62
Eggplant,2.32,14.4,33.41
Eggplant,2.32,36.800000000000004,85.38
Apples,1.88,24.200000000000003,45.5
Tomatoes,3.16,0.6000000000000001,1.9
Yellow peppers,2.87,9,25.83
Fava beans,2.69,21,56.49
Cucumber,1.07,25.200000000000003,26.96
Brussels sprouts,1.65,20.5,33.83
Kale,5.02,3.6,18.07
Red onion,0.78,11.200000000000001,8.74
Carrots,1.26,39.400000000000006,49.64
Tomatoes,3.16,22.1,69.84
Green beans,2.52,10.600000000000001,26.71
Green cabbage,0.8,14.9,11.92
Fava beans,2.69,10.100000000000001,27.17
Green beans,2.52,4.6000000000000005,11.59
Parsnips,2.27,34.300000000000004,77.86
Orange,1.09,5.1000000000000005,5.56
Coconuts,1.18,15.5,18.29
Papaya,1.34,7.300000000000001,9.78
Lime,1.06,33.5,35.51
Potatoes,0.86,23.400000000000002,20.12
Grapefruit,0.76,35,26.6
Yellow peppers,2.87,28.200000000000003,80.93
Apples,1.88,9.1,17.11
Red onion,0.78,39.6,30.89
Beets,1.51,1.2000000000000002,1.81
Grapes,2.63,4,10.52
Beets,1.51,0.7000000000000001,1.06
Strawberries,4.4,11,48.4
Strawberries,4.4,14.4,63.36
Eggplant,2.32,14.8,34.34
Yellow peppers,2.87,18.8,53.96
Yellow peppers,2.87,30.1,86.39
Daikon,1.4,6.300000000000001,8.82
Cucumber,1.07,3.3000000000000003,3.53
Bananas,0.86,24,20.64
Butternut squash,1.28,4.800000000000001,6.14
Tomatoes,3.16,21.3,67.31
Bok choy,1.42,18.400000000000002,26.13
Papaya,1.34,30.200000000000003,40.47
Beets,1.51,29.900000000000002,45.15
Garlic,1.19,35.800000000000004,42.6
Avocados,3.23,21.200000000000003,68.48
Corn,1.07,1.3,1.39
Lettuce,1.88,31.900000000000002,59.97
Apricots,3.71,30.400000000000002,112.78
Butternut squash,1.28,13.4,17.15
Green peppers,1.89,27.700000000000003,52.35
Grapes,2.63,29.200000000000003,76.8
Bok choy,1.42,18.7,26.55
Orange,1.09,35.6,38.8
Papaya,1.34,23.200000000000003,31.09
Okra,2.26,22.5,50.85
Yellow peppers,2.87,4,11.48
Daikon,1.4,25.200000000000003,35.28
Papaya,1.34,10.700000000000001,14.34
Daikon,1.4,28.6,40.04
Brussels sprouts,1.65,32.800000000000004,54.12
Butternut squash,1.28,32.800000000000004,41.98
Watermelon,0.66,11.700000000000001,7.72
Carrots,1.26,1.4000000000000001,1.76
Bananas,0.86,28.6,24.6
Yellow peppers,2.87,26,74.62
Orange,1.09,24.900000000000002,27.14
Celery,3.07,35.300000000000004,108.37
Apples,1.88,34.6,65.05
Potatoes,0.86,36.6,31.48
Garlic,1.19,21.5,25.59
Celery,3.07,32.6,100.08
Lime,1.06,6.6000000000000005,7
Watermelon,0.66,7.300000000000001,4.82
Lemon,1.29,32.2,41.54
Ginger,5.13,2.3000000000000003,11.8
Orange,1.09,11.100000000000001,12.1
Grapes,2.63,5.2,13.68
Daikon,1.4,37.6,52.64
Potatoes,0.86,36.4,31.3
Green cabbage,0.8,39.2,31.36
Carrots,1.26,35.1,44.23
Yellow peppers,2.87,7.800000000000001,22.39
Papaya,1.34,27.200000000000003,36.45
Yellow peppers,2.87,2.8000000000000003,8.04
Fava beans,2.69,18.1,48.69
Kale,5.02,25.200000000000003,126.5
Fava beans,2.69,37.7,101.41
Tomatoes,3.16,2.2,6.95
Lemon,1.29,34.300000000000004,44.25
Fava beans,2.69,2.8000000000000003,7.53
Corn,1.07,37.300000000000004,39.91
Ginger,5.13,39.5,202.64
Carrots,1.26,39.7,50.02
Beets,1.51,4.800000000000001,7.25
Carrots,1.26,16.5,20.79
Apples,1.88,25.3,47.56
Cherries,9.5,11.3,107.35
Lettuce,1.88,30.6,57.53
Eggplant,2.32,34.1,79.11
Lime,1.06,28.400000000000002,30.1
Strawberries,4.4,6.4,28.16
Daikon,1.4,25.8,36.12
Cherries,9.5,16,152
Ginger,5.13,27.700000000000003,142.1
Papaya,1.34,34.5,46.23
Corn,1.07,4.5,4.82
Carrots,1.26,17.7,22.3
Apricots,3.71,32.4,120.2
Yellow peppers,2.87,25.8,74.05
Orange,1.09,11.3,12.32
Daikon,1.4,28.3,39.62
Apricots,3.71,7.800000000000001,28.94
Potatoes,0.86,26.3,22.62
Spinach,4.12,31.400000000000002,129.37
Spinach,4.12,32,131.84
Eggplant,2.32,39,90.48
Avocados,3.23,2.1,6.78
Asparagus,2.49,17.6,43.82
Corn,1.07,12.9,13.8
Lime,1.06,10.4,11.02
Watermelon,0.66,3.4000000000000004,2.24
Apples,1.88,23.5,44.18
Kale,5.02,29.700000000000003,149.09
Lemon,1.29,15.600000000000001,20.12
Celery,3.07,24.5,75.22
Cucumber,1.07,2,2.14
Fava beans,2.69,10.8,29.05
Spinach,4.12,39.1,161.09
Grapes,2.63,13.600000000000001,35.77
Yellow peppers,2.87,16.400000000000002,47.07
Strawberries,4.4,37,162.8
Cherries,9.5,35.1,333.45
Apples,1.88,35.9,67.49
Bok choy,1.42,24,34.08
Strawberries,4.4,32.7,143.88
Lime,1.06,37.300000000000004,39.54
Lettuce,1.88,23.5,44.18
Grapes,2.63,36.1,94.94
Butternut squash,1.28,1.7000000000000002,2.18
Okra,2.26,1.9000000000000001,4.29
Green peppers,1.89,32,60.48
Corn,1.07,31.1,33.28
Okra,2.26,4.5,10.17
Apricots,3.71,4,14.84
Parsnips,2.27,18.2,41.31
Daikon,1.4,19.1,26.74
Papaya,1.34,11.700000000000001,15.68
Okra,2.26,11.5,25.99
Lettuce,1.88,18.6,34.97
Yellow peppers,2.87,26.1,74.91
Green beans,2.52,37.2,93.74
Butternut squash,1.28,25.700000000000003,32.9
Cucumber,1.07,7.5,8.03
Lettuce,1.88,14.9,28.01
Apples,1.88,12.3,23.12
Okra,2.26,9,20.34
Asparagus,2.49,17.900000000000002,44.57
Beets,1.51,33.1,49.98
Garlic,1.19,33.800000000000004,40.22
Cucumber,1.07,37.800000000000004,40.45
Green cabbage,0.8,20,16
Apricots,3.71,39.300000000000004,145.8
Daikon,1.4,4.9,6.86
Daikon,1.4,14.9,20.86
Bananas,0.86,31.200000000000003,26.83
Apricots,3.71,35.7,132.45
Strawberries,4.4,25.5,112.2
Spinach,4.12,24.1,99.29
Carrots,1.26,1.7000000000000002,2.14
Lemon,1.29,17.5,22.58
Green peppers,1.89,28.8,54.43
Eggplant,2.32,26.8,62.18
Avocados,3.23,5.5,17.77
Bananas,0.86,34.4,29.58
Avocados,3.23,24.700000000000003,79.78
Lime,1.06,14.3,15.16
Celery,3.07,28.400000000000002,87.19
Strawberries,4.4,9.5,41.8
Bok choy,1.42,32.2,45.72
Celery,3.07,23.700000000000003,72.76
Apples,1.88,25.6,48.13
Bok choy,1.42,6.800000000000001,9.66
Bananas,0.86,23,19.78
Lemon,1.29,17.1,22.06
Asparagus,2.49,14.8,36.85
Brussels sprouts,1.65,16.2,26.73
Bananas,0.86,27.900000000000002,23.99
Green cabbage,0.8,28.700000000000003,22.96
Green peppers,1.89,26.700000000000003,50.46
Butternut squash,1.28,36.4,46.59
Potatoes,0.86,10.3,8.86
Strawberries,4.4,17.400000000000002,76.56
Lemon,1.29,23.900000000000002,30.83
Celery,3.07,8.8,27.02
Spinach,4.12,11.4,46.97
Parsnips,2.27,5,11.35
Avocados,3.23,29.400000000000002,94.96
Brussels sprouts,1.65,10.9,17.99
Lime,1.06,20.700000000000003,21.94
Papaya,1.34,20.900000000000002,28.01
Coconuts,1.18,7.1000000000000005,8.38
Spinach,4.12,25.1,103.41
Orange,1.09,32.800000000000004,35.75
Carrots,1.26,6.800000000000001,8.57
Lemon,1.29,13.4,17.29
Lime,1.06,4.9,5.19
Kale,5.02,24.3,121.99
Beets,1.51,10.5,15.86
Asparagus,2.49,38.7,96.36
Corn,1.07,30.3,32.42
Parsnips,2.27,21.6,49.03
Ginger,5.13,37.5,192.38
Corn,1.07,28.1,30.07
Apricots,3.71,23,85.33
Lettuce,1.88,26.5,49.82
Potatoes,0.86,29.400000000000002,25.28
Garlic,1.19,7.300000000000001,8.69
Eggplant,2.32,7.2,16.7
Coconuts,1.18,30.1,35.52
Asparagus,2.49,16.8,41.83
Tomatoes,3.16,22.700000000000003,71.73
Papaya,1.34,11.100000000000001,14.87
Celery,3.07,11.600000000000001,35.61
Orange,1.09,36.300000000000004,39.57
Ginger,5.13,31,159.03
Potatoes,0.86,18.5,15.91
Parsnips,2.27,12.700000000000001,28.83
Yellow peppers,2.87,29.1,83.52
Grapefruit,0.76,20,15.2
Green peppers,1.89,27.3,51.6
Corn,1.07,14.4,15.41
Carrots,1.26,15.600000000000001,19.66
Eggplant,2.32,0.6000000000000001,1.39
Coconuts,1.18,19.5,23.01
Green cabbage,0.8,38.7,30.96
Apples,1.88,9,16.92
Cherries,9.5,36,342
Brussels sprouts,1.65,33,54.45
Strawberries,4.4,7,30.8
Bok choy,1.42,21,29.82
Yellow peppers,2.87,12.200000000000001,35.01
Okra,2.26,5.300000000000001,11.98
Orange,1.09,29.900000000000002,32.59
Avocados,3.23,6.6000000000000005,21.32
Spinach,4.12,2.8000000000000003,11.54
Apricots,3.71,25.200000000000003,93.49
Coconuts,1.18,37.1,43.78
Grapes,2.63,14,36.82
Okra,2.26,9.3,21.02
Eggplant,2.32,31.400000000000002,72.85
Bok choy,1.42,18.400000000000002,26.13
Eggplant,2.32,14,32.48
Beets,1.51,2.9000000000000004,4.38
Garlic,1.19,24.400000000000002,29.04
Kale,5.02,26.700000000000003,134.03
Lime,1.06,11.4,12.08
Avocados,3.23,33.800000000000004,109.17
Lime,1.06,31.700000000000003,33.6
Papaya,1.34,31.3,41.94
Lettuce,1.88,25.3,47.56
Red onion,0.78,24.900000000000002,19.42
Fava beans,2.69,6.7,18.02
Okra,2.26,5.5,12.43
Beets,1.51,24.200000000000003,36.54
Coconuts,1.18,29.3,34.57
Grapes,2.63,30.700000000000003,80.74
Ginger,5.13,35.800000000000004,183.65
Asparagus,2.49,7.6000000000000005,18.92
Apples,1.88,10.9,20.49
Garlic,1.19,22.900000000000002,27.25
Corn,1.07,30.8,32.96
Potatoes,0.86,37.4,32.16
Apricots,3.71,36.4,135.04
Spinach,4.12,1.7000000000000002,7
Grapefruit,0.76,35.6,27.06
Cucumber,1.07,31.5,33.71
Kale,5.02,36.9,185.24
Lemon,1.29,8.700000000000001,11.22
Green beans,2.52,21.1,53.17
Celery,3.07,34.300000000000004,105.3
Potatoes,0.86,27.3,23.48
Asparagus,2.49,15,37.35
Eggplant,2.32,24.700000000000003,57.3
Cucumber,1.07,31.3,33.49
Garlic,1.19,35.800000000000004,42.6
Carrots,1.26,11.9,14.99
Red onion,0.78,34.4,26.83
Lettuce,1.88,31.8,59.78
Apples,1.88,37.4,70.31
Yellow peppers,2.87,4.3,12.34
Bok choy,1.42,37.1,52.68
Apples,1.88,16.7,31.4
Orange,1.09,33.2,36.19
Bok choy,1.42,29.5,41.89
Lime,1.06,5.800000000000001,6.15
Celery,3.07,5.7,17.5
Brussels sprouts,1.65,6.800000000000001,11.22
Celery,3.07,34.9,107.14
Beets,1.51,39.1,59.04
Avocados,3.23,24.200000000000003,78.17
Yellow peppers,2.87,15.8,45.35
Cherries,9.5,17.400000000000002,165.3
Carrots,1.26,25.700000000000003,32.38
Daikon,1.4,30.900000000000002,43.26
Parsnips,2.27,35.6,80.81
Cherries,9.5,29,275.5
Celery,3.07,5.6000000000000005,17.19
Kale,5.02,21.900000000000002,109.94
Okra,2.26,22.5,50.85
Lettuce,1.88,1,1.88
Carrots,1.26,16.6,20.92
Fava beans,2.69,2.3000000000000003,6.19
Daikon,1.4,24.5,34.3
Fava beans,2.69,30.5,82.05
Yellow peppers,2.87,6.4,18.37
Carrots,1.26,10.8,13.61
Corn,1.07,38.7,41.41
Yellow peppers,2.87,7.300000000000001,20.95
Kale,5.02,2.3000000000000003,11.55
Grapefruit,0.76,3,2.28
Apricots,3.71,15.100000000000001,56.02
Fava beans,2.69,18.900000000000002,50.84
Green peppers,1.89,33.5,63.32
Cherries,9.5,34.1,323.95
Orange,1.09,9.700000000000001,10.57
Spinach,4.12,21.3,87.76
Lime,1.06,18.2,19.29
Bok choy,1.42,39,55.38
Carrots,1.26,38.900000000000006,49.01
Red onion,0.78,22.5,17.55
Bananas,0.86,29.700000000000003,25.54
Beets,1.51,14.100000000000001,21.29
Grapes,2.63,28.5,74.96
Garlic,1.19,34.6,41.17
Lime,1.06,19.400000000000002,20.56
Spinach,4.12,19.8,81.58
Fava beans,2.69,9.9,26.63
Grapes,2.63,25.8,67.85
Beets,1.51,14.8,22.35
Cherries,9.5,34.7,329.65
Coconuts,1.18,10.8,12.74
Eggplant,2.32,7.1000000000000005,16.47
Spinach,4.12,11,45.32
Grapes,2.63,4.800000000000001,12.62
Ginger,5.13,14.9,76.44
Apples,1.88,7.7,14.48
Tomatoes,3.16,35.4,111.86
Watermelon,0.66,5,3.3
Okra,2.26,17.900000000000002,40.45
Ginger,5.13,13,66.69
Papaya,1.34,10.100000000000001,13.53
Orange,1.09,4.6000000000000005,5.01
Fava beans,2.69,34.5,92.81
Lime,1.06,25.200000000000003,26.71
Okra,2.26,29.3,66.22
Garlic,1.19,2.7,3.21
Brussels sprouts,1.65,29.200000000000003,48.18
Ginger,5.13,9.3,47.71
Avocados,3.23,2.5,8.08
Green beans,2.52,16.900000000000002,42.59
Strawberries,4.4,5.6000000000000005,24.64
Yellow peppers,2.87,39.1,112.22
Grapes,2.63,5.4,14.2
Eggplant,2.32,16.6,38.51
Green beans,2.52,24.5,61.74
Grapefruit,0.76,23.5,17.86
Cherries,9.5,33.5,318.25
Beets,1.51,9.5,14.35
Beets,1.51,22.8,34.43
Butternut squash,1.28,7.5,9.6
Ginger,5.13,31.8,163.13
Carrots,1.26,24.200000000000003,30.49
Grapes,2.63,11.700000000000001,30.77
Carrots,1.26,34.4,43.34
Fava beans,2.69,33.800000000000004,90.92
Yellow peppers,2.87,15.200000000000001,43.62
Potatoes,0.86,7.4,6.36
Yellow peppers,2.87,19.8,56.83
Apricots,3.71,28.900000000000002,107.22
Cherries,9.5,4.5,42.75
Asparagus,2.49,21.5,53.54
Tomatoes,3.16,7,22.12
Fava beans,2.69,22.700000000000003,61.06
Coconuts,1.18,1.1,1.3
Yellow peppers,2.87,25.400000000000002,72.9
Grapes,2.63,1.8,4.73
Green peppers,1.89,23.6,44.6
Bananas,0.86,14.200000000000001,12.21
Bok choy,1.42,14.200000000000001,20.16
Green beans,2.52,31.5,79.38
Strawberries,4.4,23.3,102.52
Avocados,3.23,26.700000000000003,86.24
Eggplant,2.32,9.8,22.74
Daikon,1.4,10.100000000000001,14.14
Apples,1.88,19.400000000000002,36.47
Papaya,1.34,7.2,9.65
Cucumber,1.07,38.1,40.77
Butternut squash,1.28,9,11.52
Daikon,1.4,20.6,28.84
Papaya,1.34,26.1,34.97
Yellow peppers,2.87,34.9,100.16
Carrots,1.26,32.800000000000004,41.33
Parsnips,2.27,33.9,76.95
Yellow peppers,2.87,27.700000000000003,79.5
Garlic,1.19,0.5,0.6
Daikon,1.4,4.1000000000000005,5.74
Cherries,9.5,26.3,249.85
Butternut squash,1.28,26.3,33.66
Green beans,2.52,17.5,44.1
Carrots,1.26,17.400000000000002,21.92
Papaya,1.34,9.600000000000001,12.86
Lettuce,1.88,22.6,42.49
Asparagus,2.49,1.7000000000000002,4.23
Green peppers,1.89,5.4,10.21
Brussels sprouts,1.65,26.900000000000002,44.39
Green peppers,1.89,22.200000000000003,41.96
Okra,2.26,32.5,73.45
Green cabbage,0.8,34,27.2
Ginger,5.13,4.4,22.57
Cherries,9.5,30.5,289.75
Potatoes,0.86,37.1,31.91
Lemon,1.29,12.3,15.87
Orange,1.09,26.700000000000003,29.1
Butternut squash,1.28,37.7,48.26
Cucumber,1.07,39.1,41.84
Spinach,4.12,14.8,60.98
Lettuce,1.88,8.3,15.6
Orange,1.09,1.6,1.74
Daikon,1.4,25.1,35.14
Potatoes,0.86,4.4,3.78
Garlic,1.19,6.2,7.38
Garlic,1.19,23.6,28.08
Grapefruit,0.76,17.2,13.07
Lettuce,1.88,14.5,27.26
Potatoes,0.86,15.100000000000001,12.99
Lettuce,1.88,29.400000000000002,55.27
Asparagus,2.49,2.8000000000000003,6.97
Avocados,3.23,20.8,67.18
Green beans,2.52,35.2,88.7
Butternut squash,1.28,20.400000000000002,26.11
Green beans,2.52,0.6000000000000001,1.51
Cherries,9.5,39.400000000000006,374.3
Fava beans,2.69,10.200000000000001,27.44
Corn,1.07,9.5,10.17
Spinach,4.12,20.1,82.81
Daikon,1.4,4.3,6.02
Okra,2.26,25.700000000000003,58.08
Green cabbage,0.8,24.5,19.6
Fava beans,2.69,37.9,101.95
Watermelon,0.66,31.3,20.66
Cucumber,1.07,2.5,2.68
Red onion,0.78,6.800000000000001,5.3
Watermelon,0.66,14,9.24
Potatoes,0.86,32.1,27.61
Spinach,4.12,28.3,116.6
Daikon,1.4,36.7,51.38
Cherries,9.5,39.6,376.2
Red onion,0.78,21.6,16.85
Red onion,0.78,12.600000000000001,9.83
Carrots,1.26,33.7,42.46
Bananas,0.86,29.6,25.46
Orange,1.09,8.200000000000001,8.94
Daikon,1.4,4.2,5.88
Green cabbage,0.8,3.8000000000000003,3.04
Eggplant,2.32,34.5,80.04
Fava beans,2.69,39,104.91
Lemon,1.29,34.1,43.99
Corn,1.07,38.7,41.41
Brussels sprouts,1.65,30.700000000000003,50.66
Grapes,2.63,24.400000000000002,64.17
Lemon,1.29,1.1,1.42
Yellow peppers,2.87,11.8,33.87
Orange,1.09,34.300000000000004,37.39
Coconuts,1.18,17.3,20.41
Orange,1.09,11.3,12.32
Bok choy,1.42,35.800000000000004,50.84
Green beans,2.52,3.3000000000000003,8.32
Okra,2.26,11.8,26.67
Avocados,3.23,19.5,62.99
Lettuce,1.88,1.7000000000000002,3.2
Ginger,5.13,0.9,4.62
Potatoes,0.86,15.600000000000001,13.42
Okra,2.26,13.8,31.19
Daikon,1.4,35.5,49.7
Apricots,3.71,6.9,25.6
Okra,2.26,31.200000000000003,70.51
Potatoes,0.86,28.5,24.51
Lemon,1.29,18.2,23.48
Apricots,3.71,17.1,63.44
Lemon,1.29,6.9,8.9
Cherries,9.5,9.3,88.35
Bananas,0.86,6.1000000000000005,5.25
Butternut squash,1.28,36.9,47.23
Cucumber,1.07,31.1,33.28
Lettuce,1.88,23.5,44.18
Coconuts,1.18,11.3,13.33
Asparagus,2.49,33.7,83.91
Asparagus,2.49,2.3000000000000003,5.73
Potatoes,0.86,39.300000000000004,33.8
Eggplant,2.32,39.5,91.64
Red onion,0.78,18.7,14.59
Bok choy,1.42,27.8,39.48
Yellow peppers,2.87,39.2,112.5
Grapefruit,0.76,17.6,13.38
Watermelon,0.66,8.5,5.61
Eggplant,2.32,12.100000000000001,28.07
Apricots,3.71,11.600000000000001,43.04
Asparagus,2.49,20.700000000000003,51.54
Carrots,1.26,6.4,8.06
Bananas,0.86,31.8,27.35
Yellow peppers,2.87,17.3,49.65
Asparagus,2.49,30.1,74.95
Garlic,1.19,11.4,13.57
Papaya,1.34,12.100000000000001,16.21
Cherries,9.5,18,171
Orange,1.09,29.1,31.72
Watermelon,0.66,7.7,5.08
Tomatoes,3.16,39.1,123.56
Watermelon,0.66,35.6,23.5
Grapefruit,0.76,13.600000000000001,10.34
Asparagus,2.49,14.8,36.85
Avocados,3.23,13.9,44.9
Okra,2.26,20.400000000000002,46.1
Spinach,4.12,15.200000000000001,62.62
Fava beans,2.69,14,37.66
Butternut squash,1.28,24.1,30.85
Kale,5.02,0.8,4.02
Papaya,1.34,18.1,24.25
Avocados,3.23,22.8,73.64
Garlic,1.19,3,3.57
Lettuce,1.88,7.6000000000000005,14.29
Yellow peppers,2.87,26.8,76.92
Orange,1.09,10.5,11.45
Coconuts,1.18,35.1,41.42
Celery,3.07,4.9,15.04
Grapefruit,0.76,36.2,27.51
Asparagus,2.49,30.3,75.45
Grapefruit,0.76,2.2,1.67
Kale,5.02,23.8,119.48
Orange,1.09,6.800000000000001,7.41
Okra,2.26,22.400000000000002,50.62
Strawberries,4.4,24.8,109.12
Cucumber,1.07,38.2,40.87
Lime,1.06,7.300000000000001,7.74
Corn,1.07,8,8.56
Lime,1.06,2.9000000000000004,3.07
Beets,1.51,25.3,38.2
Celery,3.07,39.6,121.57
Bok choy,1.42,21.5,30.53
Grapefruit,0.76,29.400000000000002,22.34
Bananas,0.86,20.700000000000003,17.8
Eggplant,2.32,16,37.12
Avocados,3.23,33,106.59
Brussels sprouts,1.65,32,52.8
Daikon,1.4,6.5,9.1
Tomatoes,3.16,7.1000000000000005,22.44
Papaya,1.34,33.2,44.49
Lime,1.06,0.5,0.53
Bananas,0.86,6.6000000000000005,5.68
Coconuts,1.18,21.1,24.9
Potatoes,0.86,23.5,20.21
Spinach,4.12,16.400000000000002,67.57
Kale,5.02,39.400000000000006,197.79
Celery,3.07,11.5,35.31
Corn,1.07,32,34.24
Fava beans,2.69,8.4,22.6
Beets,1.51,32,48.32
Yellow peppers,2.87,36.4,104.47
Butternut squash,1.28,14.4,18.43
Apples,1.88,19.400000000000002,36.47
Lemon,1.29,12.8,16.51
Apples,1.88,17.7,33.28
Garlic,1.19,7,8.33
Garlic,1.19,21,24.99
Fava beans,2.69,5.4,14.53
Kale,5.02,27.6,138.55
